Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Global,,414525183,5318.147881823034,14510889,186.16734703599204,2070069,5832333,74.825874668359,68691,0.8812706950793537,10575,
United States of America,Americas,77301430,23353.719,1043144,315.147,243618,915622,276.621,15347,4.637,3114
India,South-East Asia,42723558,3095.9,312582,22.651,30615,509872,36.947,4593,0.333,514
Brazil,Americas,27538503,12955.673,938910,441.716,58540,638835,300.544,6214,2.923,473
France,Europe,21245489,32665.588,808182,1242.604,118385,132607,203.887,1911,2.938,350
The United Kingdom,Europe,18393955,27095.357,366604,540.029,45922,159839,235.452,1163,1.713,234
Russian Federation,Europe,14659880,10045.523,1329111,910.759,179284,342383,234.614,4993,3.421,748
Turkey,Europe,13078792,15507.395,633572,751.22,94730,91117,108.037,1906,2.26,309
Germany,Europe,12800315,15391.152,1278637,1537.438,219972,120467,144.85,1252,1.505,247
Italy,Europe,12205474,20464.738,439707,737.25,71023,151684,254.326,2172,3.642,388
Spain,Europe,10707287,22621.373,192967,407.683,17053,96906,204.734,596,1.259,23
Argentina,Americas,8766174,19396.004,118099,261.305,18573,124585,275.656,1358,3.005,236
Iran (Islamic Republic of),Eastern Mediterranean,6860255,8167.656,202413,240.988,25034,134053,159.6,1005,1.197,167
Colombia,Americas,6023257,11837.49,47471,93.295,3162,137301,269.837,1309,2.573,186
Netherlands,Europe,5842989,33565.765,493055,2832.415,53548,21414,123.015,78,0.448,12
Poland,Europe,5466094,14400.322,195775,515.766,28837,108887,286.861,1683,4.434,372
Mexico,Americas,5300537,4111.086,41244,31.989,2,312965,242.735,1135,0.88,0
Indonesia,South-East Asia,4966046,1815.582,339110,123.978,64718,145622,53.239,838,0.306,167
Ukraine,Europe,4603930,10527.176,223883,511.923,31513,103565,236.808,1678,3.837,310
Japan,Western Pacific,4055675,3206.664,587433,464.46,79896,20701,16.367,1114,0.881,207
South Africa,Africa,3645269,6146.265,17255,29.094,2364,97431,164.278,1142,1.926,181
Philippines,Western Pacific,3641940,3323.512,22415,20.455,2010,55146,50.324,525,0.479,52
Israel,Europe,3478506,40188.199,181024,2091.423,20340,9651,111.501,236,2.727,5
Belgium,Europe,3460301,30030.974,65079,564.802,12,29778,258.435,266,2.309,6
Czechia,Europe,3451318,32273.59,139790,1307.189,28337,37991,355.257,331,3.095,45
Peru,Americas,3449712,10462.596,76817,232.977,4032,208466,632.254,1352,4.1,85
Canada,Americas,3203134,8486.887,63109,167.211,10825,35580,94.271,733,1.942,110
Portugal,Europe,3111858,30224.218,148111,1438.542,18135,20620,200.274,318,3.089,55
Malaysia,Western Pacific,3083683,9527.538,144485,446.41,22133,32180,99.425,124,0.383,31
Chile,Americas,2677692,14007.448,245847,1286.066,24979,40698,212.898,611,3.196,32
Thailand,South-East Asia,2639062,3780.892,108011,154.744,16462,22516,32.258,172,0.246,27
Romania,Europe,2596269,13432.101,141221,730.623,21885,61880,320.143,964,4.987,204
Switzerland,Europe,2596215,29998.031,108478,1253.412,151,12520,144.663,59,0.682,0
Australia,Western Pacific,2584131,10133.893,178539,700.156,24891,4669,18.31,366,1.435,76
Viet Nam,Western Pacific,2572087,2642.413,191392,196.625,31814,39122,40.192,601,0.617,85
Sweden,Europe,2409081,23326.654,54566,528.352,1834,16579,160.531,57,0.552,1
Denmark,Europe,2399851,41214.987,312162,5361.063,42978,4139,71.083,211,3.624,30
Austria,Europe,2337289,26258.535,212797,2390.692,24200,13902,156.184,155,1.741,35
Iraq,Eastern Mediterranean,2281566,5672.363,22722,56.491,2984,24764,61.568,194,0.482,35
Greece,Europe,2216411,20678.244,126028,1175.792,21958,24917,232.466,595,5.551,81
Bangladesh,South-East Asia,1923031,1167.672,35760,21.714,3929,28887,17.54,184,0.112,15
Serbia,Europe,1855174,26782.922,61620,889.6,7134,14553,210.1,440,6.352,59
Hungary,Europe,1730366,17711.873,58819,602.066,8883,42851,438.619,681,6.971,97
Republic of Korea,Western Pacific,1552851,3028.819,421612,822.35,90443,7202,14.047,259,0.505,39
Jordan,Eastern Mediterranean,1508950,14789.083,134497,1318.193,18477,13554,132.842,172,1.686,22
Georgia,Europe,1496156,37505.399,120541,3021.702,15315,15683,393.139,332,8.323,55
Pakistan,Eastern Mediterranean,1488958,674.065,23048,10.434,2597,29828,13.503,275,0.124,27
Kazakhstan,Europe,1381558,7357.829,14504,77.245,1586,18807,100.161,114,0.607,11
Slovakia,Europe,1288524,23608.538,121682,2229.477,19955,18145,332.456,131,2.4,22
Ireland,Europe,1259731,25375.088,34869,702.375,4160,6390,128.715,162,3.263,99
Morocco,Eastern Mediterranean,1156356,3132.86,6774,18.352,822,15820,42.86,163,0.442,18
Cuba,Americas,1062154,9377.505,6227,54.977,630,8476,74.833,29,0.256,0
Norway,Europe,1054394,19643.75,118077,2199.818,18645,1530,28.504,18,0.335,17
Bulgaria,Europe,1049543,15098.119,37955,545.999,6589,34686,498.973,642,9.235,95
Lebanon,Eastern Mediterranean,1023935,15001.732,39328,576.197,3731,9872,144.635,122,1.787,17
Croatia,Europe,1021777,25178.301,31182,768.377,3410,14584,359.374,340,8.378,47
Nepal,South-East Asia,974493,3344.543,4031,13.835,454,11905,40.859,53,0.182,3
Tunisia,Eastern Mediterranean,971460,8219.742,20885,176.713,3067,27233,230.425,409,3.461,88
Mongolia,Western Pacific,891267,27186.948,22100,674.132,2904,2077,63.356,18,0.549,1
Bolivia (Plurinational State of),Americas,885004,7581.619,10098,86.507,0,21314,182.592,143,1.225,0
United Arab Emirates,Eastern Mediterranean,870358,8800.027,9382,94.86,930,2288,23.134,19,0.192,1
Slovenia,Europe,858745,40973.376,47276,2255.684,7131,6642,316.91,43,2.052,5
Belarus,Europe,843717,8928.864,54783,579.756,5146,6278,66.439,103,1.09,13
Lithuania,Europe,835403,29898.93,58609,2097.606,8562,8200,293.477,169,6.048,28
Ecuador,Americas,799140,4529.488,27575,156.294,0,35036,198.582,296,1.678,0
Uruguay,Americas,782556,22527.83,49546,1426.305,5066,6778,195.122,122,3.512,22
Costa Rica,Americas,766520,15047.158,32812,644.115,2085,7806,153.236,112,2.199,8
Azerbaijan,Europe,752605,7422.744,42239,416.592,4687,9105,89.8,185,1.825,28
Panama,Americas,743653,17235.067,14626,338.975,799,7960,184.483,100,2.318,10
Guatemala,Americas,735957,4107.919,23900,133.404,858,16643,92.897,134,0.748,6
Saudi Arabia,Eastern Mediterranean,732596,2104.322,16622,47.745,1982,8975,25.78,16,0.046,1
Sri Lanka,South-East Asia,630599,2944.901,7351,34.329,0,15874,74.132,182,0.85,0
Paraguay,Americas,626355,8781.657,16148,226.399,1880,17964,251.86,311,4.36,59
"occupied Palestinian territory, including east Jerusalem",Eastern Mediterranean,622175,12196.128,28138,551.573,3648,5320,104.285,124,2.431,24
Kuwait,Eastern Mediterranean,606035,14190.959,18933,443.336,2166,2522,59.055,9,0.211,1
Finland,Europe,592765,10728.211,29375,531.646,411,2242,40.577,3,0.054,0
Dominican Republic,Americas,570236,5256.644,5769,53.181,790,4349,40.091,17,0.157,2
Myanmar,South-East Asia,550824,1012.362,10227,18.796,0,19314,35.497,4,0.007,0
Latvia,Europe,533871,27985.427,68976,3615.71,11105,5041,264.248,72,3.774,12
Venezuela (Bolivarian Republic of),Americas,506977,1782.874,9000,31.65,1030,5556,19.539,61,0.215,7
Singapore,Western Pacific,497997,8512.272,79357,1356.451,19420,913,15.606,36,0.615,7
Republic of Moldova,Europe,488899,12119.571,14351,355.754,1616,11009,272.908,172,4.264,27
Libya,Eastern Mediterranean,475604,6921.61,19328,281.286,2490,6143,89.401,56,0.815,8
Bahrain,Eastern Mediterranean,473462,27824.927,38218,2246.037,4839,1429,83.981,13,0.764,2
Puerto Rico,Americas,469044,16395.25,3706,129.542,0,4047,141.461,87,3.041,15
Ethiopia,Africa,467691,406.817,851,0.74,116,7428,6.461,43,0.037,2
Egypt,Eastern Mediterranean,459198,448.723,15081,14.737,2117,23465,22.93,412,0.403,56
Estonia,Europe,435448,32765.678,36929,2778.756,8438,2139,160.951,51,3.838,17
Armenia,Europe,410155,13841.465,13270,447.822,1774,8229,277.703,121,4.083,28
Honduras,Americas,404764,4086.624,3571,36.054,0,10608,107.102,51,0.515,0
Oman,Eastern Mediterranean,369190,7229.627,12290,240.668,1511,4216,82.559,28,0.548,5
Bosnia and Herzegovina,Europe,365589,11143.237,7191,219.183,979,15127,461.074,271,8.26,31
Qatar,Eastern Mediterranean,351949,12215.985,4584,159.108,547,658,22.839,5,0.174,0
Kenya,Africa,322517,599.794,303,0.563,20,5632,10.474,11,0.02,0
Zambia,Africa,309870,1685.546,2234,12.152,291,3939,21.426,6,0.033,1
Cyprus,Europe,295686,33297.785,17822,2006.971,2646,791,89.076,21,2.365,3
North Macedonia,Europe,288750,13859.69,8166,391.959,1269,8793,422.055,138,6.624,14
Réunion,Africa,278494,31105.804,21707,2424.518,21707,603,67.351,38,4.244,38
Albania,Europe,268940,9345.333,3224,112.03,449,3423,118.945,30,1.042,3
Algeria,Africa,262570,598.777,3482,7.941,405,6753,15.4,86,0.196,9
Botswana,Africa,260491,11077.054,3324,141.349,0,2603,110.689,10,0.425,0
Nigeria,Africa,254124,123.278,286,0.139,108,3141,1.524,2,0.001,0
Uzbekistan,Europe,234359,700.223,3180,9.501,296,1609,4.807,17,0.051,2
Zimbabwe,Africa,231863,1560.009,1123,7.556,260,5378,36.184,11,0.074,4
Montenegro,Europe,227040,36149.297,2624,417.793,343,2638,420.022,28,4.458,3
Mozambique,Africa,224767,719.129,333,1.065,48,2189,7.004,4,0.013,0
Kosovo[1],Europe,223518,12447.638,4492,250.158,373,3068,170.856,25,1.392,2
Kyrgyzstan,Europe,200175,3068.197,461,7.066,54,2935,44.986,22,0.337,3
Luxembourg,Europe,175408,28015.614,5308,847.777,552,979,156.363,13,2.076,3
Afghanistan,Eastern Mediterranean,171422,440.353,3683,9.461,346,7504,19.276,50,0.128,3
Uganda,Africa,162932,356.206,422,0.923,63,3582,7.831,12,0.026,2
Maldives,South-East Asia,161113,29805.714,6602,1221.362,0,289,53.465,3,0.555,0
Ghana,Africa,158038,508.603,287,0.924,121,1431,4.605,12,0.039,5
Namibia,Africa,156843,6172.722,361,14.208,33,3995,157.227,13,0.512,0
China,Western Pacific,153611,10.441,11012,0.748,1766,5712,0.388,12,0.001,4
El Salvador,Americas,147786,2278.466,12677,195.446,0,4011,61.839,51,0.786,9
Lao People's Democratic Republic,Western Pacific,139683,1919.893,2580,35.461,441,601,8.261,24,0.33,4
