Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Global,,452201564,5801.516743419816,11045464,141.70770168950762,1697477,6029852,77.35994327154398,45317,0.5813941286181757,6828,
United States of America,Americas,78739443,23788.161,256755,77.569,42437,958659,289.623,9071,2.74,1665
India,South-East Asia,42984261,3114.792,32705,2.37,4194,515714,37.37,1125,0.082,255
Brazil,Americas,29249903,13760.813,345873,162.718,56635,654086,307.719,3508,1.65,588
France,Europe,22614907,34771.11,386258,593.883,74721,136749,210.256,914,1.405,107
The United Kingdom,Europe,19457980,28662.727,346034,509.728,40137,162624,239.555,463,0.682,15
Russian Federation,Europe,17242043,11814.922,467019,320.02,50743,359585,246.402,4798,3.288,674
Germany,Europe,16757658,20149.478,1275768,1533.989,252836,125272,150.628,1476,1.775,249
Turkey,Europe,14487482,17177.665,232828,276.062,29492,96094,113.938,1069,1.268,140
Italy,Europe,13214498,22156.553,303992,509.699,55156,156493,262.389,1094,1.834,136
Spain,Europe,11204125,23671.046,123004,259.872,17818,101077,213.546,634,1.339,92
Argentina,Americas,8967210,19840.815,37312,82.556,5615,127051,281.113,427,0.945,42
Iran (Islamic Republic of),Eastern Mediterranean,7113591,8469.272,39844,47.437,6424,138572,164.981,1133,1.349,139
Netherlands,Europe,6986628,40135.539,481778,2767.633,74588,21675,124.515,90,0.517,41
Colombia,Americas,6074874,11938.932,6800,13.364,719,139220,273.609,281,0.552,31
Indonesia,South-East Asia,5864010,2143.877,170308,62.264,16110,151703,55.462,2107,0.77,290
Republic of Korea,Western Pacific,5822626,11356.97,1864300,3636.297,282987,9875,19.261,1295,2.526,229
Poland,Europe,5799996,15279.98,78680,207.281,11633,113307,298.505,971,2.558,121
Japan,Western Pacific,5609096,4434.893,398833,315.342,62825,25697,20.318,1348,1.066,211
Mexico,Americas,5591871,4337.045,27339,21.204,8098,320607,248.662,767,0.595,197
Viet Nam,Western Pacific,5260495,5404.327,1374864,1412.455,218459,41157,42.282,610,0.627,71
Ukraine,Europe,4894331,11191.197,31872,72.877,5858,106985,244.628,500,1.143,86
Malaysia,Western Pacific,3741986,11561.472,213429,659.423,30787,33567,103.711,539,1.665,70
Israel,Europe,3705020,42805.181,44904,518.789,5555,10359,119.681,64,0.739,1
South Africa,Africa,3690291,6222.176,10752,18.129,1868,99681,168.071,182,0.307,25
Czechia,Europe,3670380,34322.059,53528,500.545,8238,39100,365.628,203,1.898,9
Philippines,Western Pacific,3668940,3348.151,4046,3.692,592,57258,52.252,720,0.657,76
Belgium,Europe,3629671,31500.889,41103,356.721,15,30380,263.659,114,0.989,3
Peru,Americas,3531075,10709.361,8591,26.056,1071,211364,641.044,457,1.386,63
Portugal,Europe,3380263,32831.127,85572,831.126,12794,21285,206.733,144,1.399,18
Canada,Americas,3349647,8875.082,39412,104.424,7400,37229,98.64,386,1.023,72
Chile,Americas,3269062,17101.002,121628,636.256,19172,43659,228.387,850,4.446,132
Thailand,South-East Asia,3136649,4493.768,154653,221.566,24792,23575,33.775,451,0.646,63
Australia,Western Pacific,3104907,12176.161,187183,734.054,38020,5520,21.647,203,0.796,21
Austria,Europe,3050667,34273.06,252099,2832.234,50282,14520,163.127,183,2.056,29
Switzerland,Europe,3026939,34974.842,138137,1596.107,16,12759,147.424,31,0.358,0
Denmark,Europe,2923030,50200.051,104707,1798.236,14309,5049,86.711,318,5.461,41
Romania,Europe,2784651,14406.717,29921,154.8,3565,64226,332.281,444,2.297,70
Greece,Europe,2583366,24101.79,113154,1055.682,21863,26424,246.526,388,3.62,58
Sweden,Europe,2465099,23869.066,11300,109.416,2090,17749,171.86,77,0.746,0
Iraq,Eastern Mediterranean,2311238,5746.133,5146,12.794,699,25090,62.378,62,0.154,8
Bangladesh,South-East Asia,1949055,1183.473,2686,1.631,257,29105,17.673,41,0.025,5
Serbia,Europe,1934953,27934.682,15626,225.591,2139,15533,224.248,187,2.7,21
Hungary,Europe,1814362,18571.648,14316,146.537,2068,44653,457.064,367,3.757,50
Jordan,Eastern Mediterranean,1654677,16217.341,16449,161.215,0,13882,136.056,33,0.323,0
Georgia,Europe,1633443,40946.888,12804,320.969,1543,16505,413.745,199,4.989,20
Slovakia,Europe,1556433,28517.208,63050,1155.212,9923,18847,345.318,216,3.958,30
Pakistan,Eastern Mediterranean,1516789,686.664,5035,2.279,639,30291,13.713,54,0.024,4
Kazakhstan,Europe,1392590,7416.583,1027,5.47,163,18989,101.131,22,0.117,1
Norway,Europe,1341161,24986.325,43994,819.624,2637,1751,32.622,87,1.621,0
Ireland,Europe,1332701,26844.941,21777,438.66,4065,6590,132.744,63,1.269,12
Morocco,Eastern Mediterranean,1161848,3147.739,456,1.235,0,16032,43.435,26,0.07,0
Bulgaria,Europe,1109581,15961.791,12283,176.696,1693,36028,518.278,312,4.488,33
Lebanon,Eastern Mediterranean,1081463,15844.579,7091,103.891,0,10176,149.089,51,0.747,0
Cuba,Americas,1075616,9496.358,3652,32.243,586,8503,75.071,5,0.044,1
Croatia,Europe,1069317,26349.766,9239,227.664,1728,15294,376.87,149,3.672,18
Tunisia,Eastern Mediterranean,1018447,8617.31,16693,141.243,0,28009,236.99,135,1.142,0
Nepal,South-East Asia,977848,3356.057,468,1.606,62,11950,41.013,5,0.017,1
Lithuania,Europe,956180,34221.518,32196,1152.289,4833,8607,308.043,109,3.901,6
Belarus,Europe,935684,9902.129,10169,107.616,1497,6618,70.037,97,1.027,10
Mongolia,Western Pacific,914536,27896.739,3353,102.279,0,2105,64.21,5,0.153,0
Slovenia,Europe,912193,43523.545,13096,624.851,2305,7186,342.866,24,1.145,0
Singapore,Western Pacific,901758,15413.766,115933,1981.645,16165,1116,19.076,67,1.145,6
Bolivia (Plurinational State of),Americas,896744,7682.193,2544,21.794,429,21472,183.946,19,0.163,2
United Arab Emirates,Eastern Mediterranean,884354,8941.537,2882,29.139,369,2302,23.275,1,0.01,0
Uruguay,Americas,860663,24776.336,11613,334.309,1498,7075,203.672,61,1.756,6
Ecuador,Americas,843760,4782.392,7544,42.759,0,35316,200.169,52,0.295,0
Costa Rica,Americas,821813,16132.587,9001,176.694,1368,8149,159.969,76,1.492,7
Guatemala,Americas,800403,4467.64,13534,75.543,0,17127,95.598,98,0.547,0
Azerbaijan,Europe,790153,7793.07,2216,21.856,270,9575,94.436,102,1.006,17
Panama,Americas,758923,17588.968,2384,55.252,310,8128,188.376,27,0.626,3
Saudi Arabia,Eastern Mediterranean,748311,2149.462,1838,5.28,190,9014,25.892,10,0.029,1
Finland,Europe,734262,13289.108,35267,638.283,3018,2653,48.016,1,0.018,0
Latvia,Europe,726868,38102.297,44750,2345.787,7055,5382,282.124,98,5.137,13
China,Western Pacific,709726,48.238,228176,15.509,25027,8639,0.587,1784,0.121,281
Sri Lanka,South-East Asia,655383,3060.643,6390,29.841,467,16381,76.499,74,0.346,7
"occupied Palestinian territory, including east Jerusalem",Eastern Mediterranean,653293,12806.116,3322,65.119,327,5603,109.832,46,0.902,9
Paraguay,Americas,645383,9048.434,2401,33.663,363,18517,259.613,77,1.08,7
Kuwait,Eastern Mediterranean,624573,14625.047,3107,72.754,0,2549,59.688,8,0.187,0
Myanmar,South-East Asia,604219,1110.497,8398,15.435,956,19403,35.661,20,0.037,2
Dominican Republic,Americas,576367,5313.162,775,7.144,147,4374,40.321,4,0.037,2
Bahrain,Eastern Mediterranean,532265,31280.725,10652,626.008,0,1462,85.92,6,0.353,0
Estonia,Europe,527913,39723.291,16891,1270.979,2165,2337,175.85,62,4.665,10
Venezuela (Bolivarian Republic of),Americas,517720,1820.654,1777,6.249,204,5655,19.887,12,0.042,2
Republic of Moldova,Europe,507028,12568.98,2721,67.452,347,11333,280.94,64,1.587,14
Libya,Eastern Mediterranean,499465,7268.866,2687,39.105,333,6326,92.064,42,0.611,5
Egypt,Eastern Mediterranean,493658,482.397,6016,5.879,0,24257,23.704,108,0.106,0
Puerto Rico,Americas,475589,16624.028,1332,46.56,210,4148,144.992,18,0.629,2
Ethiopia,Africa,469134,408.072,284,0.247,39,7484,6.51,11,0.01,2
Armenia,Europe,421842,14235.865,834,28.145,128,8568,289.144,52,1.755,5
Honduras,Americas,414714,4187.082,1015,10.248,0,10812,109.161,27,0.273,0
Oman,Eastern Mediterranean,386003,7558.866,2129,41.691,234,4250,83.225,2,0.039,1
Bosnia and Herzegovina,Europe,372962,11367.968,1116,34.016,145,15610,475.796,105,3.2,11
Qatar,Eastern Mediterranean,358821,12454.509,1057,36.688,127,672,23.325,2,0.069,0
Cyprus,Europe,344856,38834.916,17296,1947.737,3473,889,100.112,25,2.815,3
New Zealand,Western Pacific,327925,6800.273,139931,2901.788,21012,98,2.032,35,0.726,17
Kenya,Africa,323140,600.953,115,0.214,11,5644,10.496,4,0.007,3
Zambia,Africa,314850,1712.635,1456,7.92,209,3960,21.541,3,0.016,0
Réunion,Africa,310181,34645.018,8019,895.665,0,680,75.951,14,1.564,0
North Macedonia,Europe,300714,14433.949,2054,98.59,318,9117,437.606,49,2.352,7
Albania,Europe,272479,9468.309,559,19.425,67,3484,121.065,8,0.278,1
Algeria,Africa,265366,605.153,236,0.538,20,6861,15.646,13,0.03,1
Botswana,Africa,263950,11224.144,0,0,0,2619,111.37,0,0,0
Nigeria,Africa,254861,123.635,255,0.124,84,3142,1.524,0,0,0
Zimbabwe,Africa,241548,1625.171,3442,23.158,499,5408,36.386,11,0.074,1
Uzbekistan,Europe,237129,708.499,358,1.07,70,1637,4.891,0,0,0
Montenegro,Europe,231308,36828.848,673,107.155,78,2690,428.302,8,1.274,1
Kosovo[1],Europe,226723,12626.123,305,16.985,37,3113,173.362,7,0.39,1
Mozambique,Africa,225162,720.393,62,0.198,3,2198,7.032,4,0.013,0
Kyrgyzstan,Europe,200707,3076.351,108,1.655,16,2971,45.538,9,0.138,1
Luxembourg,Europe,191006,30506.877,5299,846.34,1176,1004,160.356,9,1.437,4
Mauritius,Africa,181362,14260.62,11566,909.443,0,934,73.441,30,2.359,0
Afghanistan,Eastern Mediterranean,175525,450.893,1311,3.368,0,7636,19.616,17,0.044,0
Maldives,South-East Asia,174163,32219.949,2216,409.957,172,297,54.945,0,0,0
Uganda,Africa,163529,357.511,146,0.319,16,3592,7.853,4,0.009,1
Ghana,Africa,160681,517.109,653,2.102,41,1445,4.65,3,0.01,1
Iceland,Europe,158533,43536.995,20019,5497.701,2656,79,21.695,11,3.021,2
Namibia,Africa,157383,6193.974,99,3.896,25,4014,157.975,4,0.157,0
El Salvador,Americas,156364,2410.716,0,0,0,4095,63.134,12,0.185,2
Lao People's Democratic Republic,Western Pacific,145094,1994.266,1608,22.101,335,637,8.755,11,0.151,2
Cambodia,Western Pacific,133501,798.5,2129,12.734,238,3044,18.207,11,0.066,1
Trinidad and Tobago,Americas,131840,9420.588,2864,204.646,462,3673,262.453,31,2.215,4
Martinique,Americas,129984,34637.923,13529,3605.186,1830,903,240.63,8,2.132,1
Rwanda,Africa,129576,1000.416,33,0.255,7,1459,11.264,1,0.008,0
Jamaica,Americas,128318,4333.359,176,5.944,45,2839,95.874,14,0.473,2
Guadeloupe,Americas,126256,31554.218,0,0,0,919,229.679,0,0,0
Cameroon,Africa,119322,449.494,82,0.309,0,1926,7.255,3,0.011,0
Brunei Darussalam,Western Pacific,104022,23777.598,27488,6283.273,3849,107,24.458,21,4.8,1
Angola,Africa,98855,300.779,109,0.332,0,1900,5.781,0,0,0
Democratic Republic of the Congo,Africa,86315,96.375,161,0.18,25,1335,1.491,0,0,0
